crime_id,crime_degree,crime_type,report,report_date
1,felony,theft,Avoid home space firm national present world him.,2017-11-06
2,misdemeanor,obscenity,Voice face keep single across until. Summer energy pick purpose remember onto stuff.,2015-03-26
3,infractions,jaywalking,Decision would give past federal fight.,2008-03-28
4,misdemeanor,bribery,This me statement resource should. Year Congress three common left similar effect. Ground beat which production become method line.,1998-05-13
5,infractions,littering,Somebody citizen institution. Enter leg for center. Record enjoy put participant step radio describe cold.,2018-02-26
6,infractions,jaywalking,Send run recently fine hit leader. Score property institution six.,1999-05-24
7,misdemeanor,obscenity,Resource training require some. Ready bar for campaign place arrive. Must as little sort.,2014-06-26
8,infractions,littering,Car issue million system save fast. Wear suddenly usually house.,2006-02-24
9,felony,assault,Into but all south include road. Wonder design win reduce five. Everyone fight bit trial these great.,2004-07-08
10,felony,burglary,Season these mention evidence stock state turn. Decide care wall listen response. Country sport production remember begin.,2017-09-22
11,felony,homicide,Which city relate her be some will. Your appear manage away eye Mr skill.,2012-03-22
12,misdemeanor,perjury,Item successful institution TV before gas. Want be partner assume. Girl she together news.,2004-02-20
13,infractions,jaywalking,Space financial break. Bad leave trouble put positive. Father finally other arm trial sit would.,1999-09-26
14,infractions,speeding,Turn direction page our. Person campaign reality charge. Exactly pass successful recognize.,2008-09-02
15,felony,robbery,This try however major all across. Baby station tree remain fine set leader recently.,2013-02-25
16,misdemeanor,bribery,Affect trade onto thank. Arrive blue civil lot learn society similar.,2012-04-10
17,infractions,disturbing the peace,Lose radio box approach large ever state. Become issue our radio hospital loss tree force.,2015-11-27
18,infractions,jaywalking,Sport behind work probably.,2017-11-22
19,misdemeanor,perjury,These throw example between. If teacher she property. After necessary official.,2018-01-05
20,misdemeanor,assault,Matter relate hold every. Song since prevent age war sense among receive. Agree left still modern. Whatever themselves western him him run compare.,2018-02-14
21,felony,burglary,Far relationship about claim. Know among will.,2013-08-30
22,felony,assault,Join religious indicate president science pass. Involve party well return affect serious western. Against truth friend down.,2006-01-20
23,infractions,jaywalking,Discussion everything but. Computer soldier condition themselves away necessary several. Want anything something change.,2006-01-17
24,infractions,littering,Yourself sign coach stand week star. Kid visit choice close energy rise.,2002-05-28
25,infractions,disturbing the peace,Gas because reduce officer model every benefit machine. Whom market quickly analysis.,2013-07-27
26,infractions,speeding,As training party only about song soldier guess. Theory participant form girl.,1999-04-08
27,infractions,speeding,Feeling animal bad human better budget recently family. Design treatment better growth parent. Can public consumer recently natural.,1999-12-20
28,misdemeanor,bribery,Which several staff about war entire among few. Although science likely front. Wonder unit maintain brother language drive.,2012-01-09
29,infractions,jaywalking,Such fine never financial. Law sort others get worker would. Audience player season western magazine general.,2007-06-26
30,infractions,speeding,Issue pay must. Local main hundred model.,2006-04-13
31,infractions,littering,End stay pattern however office. Financial who production education hour sure young. Deal away good political.,2006-08-11
32,infractions,disturbing the peace,Seat answer decision room man trade possible. Significant camera office agent.,2016-08-04
33,misdemeanor,perjury,Beyond talk learn short do model. Surface director even national here charge blood husband. Employee early special enough long.,2017-09-08
34,misdemeanor,obscenity,Game learn doctor attention kid. Like avoid sense major between yourself affect. Report maybe national sort article lot group every.,2000-10-11
35,infractions,disturbing the peace,Role exist color couple you nearly environmental. Option painting project since artist side out. Great sit compare carry attorney million rule whatever. Food gas concern.,2002-12-13
36,infractions,speeding,Car avoid might prevent clearly finally. Pull ask safe statement suggest. Particular couple consumer.,2016-10-27
37,infractions,jaywalking,Deal paper participant religious. Notice into building loss speech. Maintain reduce finally provide see.,2006-07-10
38,misdemeanor,assault,Process wife glass method fund able always four. Line throughout trouble perhaps scene tonight foot ball. For face life statement because side wife method.,2014-01-18
39,infractions,littering,Any ball ball make push participant instead. Hand film improve card really.,2009-08-10
40,infractions,disturbing the peace,Boy four summer factor us within enter her. Expert see page trial newspaper forward man them. Protect let see. Enjoy I contain scene her into boy.,2002-12-21