transaction_id,person_id,transaction_type,transaction_method,amount,time_stamp,transaction_entity_id
1,20,regular,debit,271.85,1991-03-13T04:51:10,23
2,11,interest,check,54.44,1980-01-03T00:34:29,23
3,9,rental,cash,211.65,2001-09-03T07:15:44,4
4,19,mortage,credit,802.92,1977-03-26T08:25:26,13
5,10,interest,credit,752.54,2008-10-29T06:50:40,16
6,19,rental,credit,895.97,1990-04-07T16:56:44,3
7,18,regular,check,515.45,1986-06-24T13:30:47,14
8,1,interest,cash,853.63,2007-03-17T18:31:51,13
9,9,interest,debit,951.05,1975-03-05T10:11:42,19
10,8,interest,cash,722.67,1997-11-03T05:47:09,9
11,11,regular,debit,291.26,1980-04-09T13:14:00,2
12,12,rental,check,919.83,1989-12-09T20:34:06,1
13,18,regular,credit,134.86,2002-11-16T18:30:28,1
14,10,interest,check,941.25,1984-10-14T03:41:14,22
15,2,interest,check,12.09,1991-09-05T11:42:34,5
16,17,mortage,check,460.94,1982-06-24T20:54:19,9
17,16,mortage,cash,380.46,2012-07-01T11:46:09,24
18,11,interest,credit,83.19,1975-09-08T08:15:28,7
19,8,regular,debit,393.48,2001-07-13T18:39:58,6
20,13,mortage,check,99.87,1988-03-20T23:02:29,11
21,17,interest,credit,165.00,1971-09-18T10:22:38,2
22,8,regular,check,255.93,1989-04-08T01:00:04,20
23,8,rental,cash,335.43,2015-10-01T06:05:25,9
24,12,regular,credit,607.48,1991-12-11T17:45:56,4
25,14,rental,check,978.46,1985-11-07T13:50:02,11
26,9,regular,check,500.64,2011-09-03T14:14:13,17
27,14,rental,cash,536.80,1993-09-29T11:29:35,11
28,18,rental,debit,660.39,2009-10-13T13:30:11,8
29,12,interest,debit,430.47,1978-04-16T05:51:47,15
30,15,interest,cash,588.17,2005-10-20T15:39:31,1
31,10,regular,debit,746.45,2010-03-18T21:41:22,19
32,17,rental,debit,574.79,1980-02-21T22:13:17,8
33,7,interest,cash,841.23,1992-05-19T16:37:07,11
34,7,rental,check,446.58,1971-09-25T07:55:46,10
35,14,interest,credit,113.70,1979-05-22T15:02:14,8
36,12,mortage,cash,632.02,2012-02-24T01:56:11,2
37,3,interest,cash,191.42,1980-02-01T07:24:08,15
38,17,rental,credit,325.79,1984-09-29T04:27:15,13
39,4,mortage,check,680.22,1985-11-24T20:12:07,23
40,20,interest,credit,779.32,2011-04-02T00:52:43,12
41,15,rental,check,26.75,1995-04-20T15:33:06,17
42,23,interest,cash,53.68,2007-01-04T03:07:18,8
43,9,regular,debit,34.28,1979-07-03T23:44:28,15
44,4,mortage,credit,0.52,1983-07-04T15:16:09,2
45,4,rental,cash,44.15,1980-05-09T19:39:17,13
46,3,rental,check,40.94,1999-10-15T12:26:16,20
47,28,interest,check,30.62,1988-01-31T07:38:58,15
48,27,regular,cash,86.33,2008-09-05T19:19:02,3
49,24,interest,check,45.89,1979-08-05T02:52:47,15
50,26,interest,check,91.04,1994-12-19T14:49:26,11
51,24,regular,cash,14.97,2006-09-09T07:44:08,13
52,13,mortage,credit,93.05,2000-06-09T10:17:45,4
53,8,interest,debit,12.85,1975-11-29T21:26:04,7
54,23,mortage,debit,80.81,1984-11-04T10:54:04,1
55,20,mortage,cash,63.85,1972-09-12T01:45:55,6
56,10,rental,check,15.27,2002-10-12T23:10:33,13
57,2,rental,debit,76.09,2012-08-19T06:32:56,3
58,26,interest,debit,79.02,2013-10-06T17:17:58,7
59,14,interest,credit,95.87,2000-05-06T19:20:06,24
60,16,interest,debit,69.84,2009-10-23T02:21:30,14
61,21,regular,check,39.91,1999-08-18T18:50:51,23
62,5,rental,debit,56.95,2006-11-24T01:30:18,17
63,1,mortage,cash,52.35,1970-11-06T17:36:08,10
64,8,rental,debit,28.40,2016-05-07T12:59:02,20
65,9,rental,cash,18.66,2007-03-14T19:11:21,22
66,1,regular,check,42.92,1992-09-19T11:09:17,7
67,10,mortage,cash,50.66,1978-12-24T15:48:52,14
68,17,rental,check,93.86,1987-06-24T19:14:16,14
69,27,regular,cash,2.20,1975-02-09T03:41:11,17
70,26,interest,check,8.69,2017-03-25T17:37:03,16
71,5,mortage,debit,98.64,2002-02-13T20:41:36,16
72,18,regular,cash,67.01,1974-09-08T21:34:40,18
73,17,rental,debit,82.17,2007-08-08T22:01:19,24
74,21,interest,check,24.89,2010-09-28T18:05:22,15
75,6,rental,cash,18.08,1971-11-07T07:14:15,1
76,27,interest,cash,8.29,1987-01-22T04:20:39,19
77,29,interest,check,22.47,1972-11-10T10:24:05,24
78,4,mortage,credit,20.37,1986-06-09T05:01:37,9
79,13,rental,debit,70.70,1992-08-08T12:57:02,18
80,27,regular,cash,31.86,1998-02-03T22:41:52,16
81,1,interest,cash,38.15,1977-01-06T12:52:30,21
82,16,regular,cash,65.77,1972-03-27T01:31:34,14
83,10,mortage,check,48.86,1978-04-21T13:03:30,17
84,28,interest,debit,74.58,1988-02-02T22:41:29,20
85,12,regular,credit,47.80,2014-09-30T06:01:04,20
86,17,interest,debit,97.67,2001-04-18T22:42:41,7
87,15,rental,credit,62.06,1989-11-10T12:47:54,15
88,9,mortage,debit,89.17,1997-09-16T22:48:17,22
89,5,rental,credit,3.60,1970-09-01T22:11:22,11
90,2,regular,cash,11.13,1972-10-29T21:35:05,20
91,1,rental,check,26.45,2003-03-06T17:27:05,9
92,28,rental,cash,59.64,1997-11-12T08:59:01,6
93,3,regular,cash,56.44,2009-07-18T09:10:29,22
94,5,interest,debit,60.97,1984-11-22T07:38:48,23
95,24,mortage,credit,87.35,1976-11-17T04:54:21,13
96,11,regular,cash,71.76,1995-04-02T12:24:11,9
97,15,rental,check,78.22,2004-06-03T10:18:52,7
98,29,interest,credit,36.60,2008-08-03T18:13:01,19
99,17,mortage,credit,5.22,1987-06-23T14:43:53,6
100,14,rental,debit,83.51,1977-02-05T02:05:04,21